file_name,width,height,top_left_lng,top_left_lat
00.tiff,215,222,71.474895,56.299073
01.tiff,191,137,75.111109,55.772771
02.tiff,361,223,75.103989,56.887685
03.tiff,297,249,75.20382,56.86258
04.tiff,139,142,71.816843,55.881097
05.tiff,249,204,74.028109,54.833228
06.tiff,702,680,73.35841,55.297148
07.tiff,141,213,73.217182,55.523143
08.tiff,258,172,74.392537,54.682872
09.tiff,135,106,73.610024,54.827102
10.tiff,381,257,71.22899,55.105147
11.tiff,703,430,74.630556,54.384806
12.tiff,706,463,75.110264,54.01957
13.tiff,753,487,75.008211,54.955343
14.tiff,793,448,72.945099,55.841687
15.tiff,474,283,73.382363,55.843711
16.tiff,422,266,73.054962,54.52554
17.tiff,1034,600,75.281324,54.986775
18.tiff,1651,992,71.08223,55.112059
19.tiff,328,188,73.323011,55.37794
20.tiff,521,342,71.106906,55.142117
